year,puma,statefip,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,cntygp97,cntygp98,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,105,13,1113,22260,61048.259,28349.832,0.132,0.037,0.018,0.014,0.513,0.771,0.701,101860.613,160485.034,-2744.519,32999.796,39725.945,0.506,0.494,NA,NA,NA,NA,0.118,0.639,0.361,0,0.197,3.685,47.73,2275.62,0.028,0.021,0.007,0.001,0.016,0.407,0.023,0.03,0.018
1960,106,13,1159,23180,70912.395,29869.164,0.202,0.089,0.041,0.024,0.568,0.232,0.742,195200.127,171540.875,0,34741.276,38826.519,0.565,0.435,NA,NA,NA,NA,0.092,0.643,0.356,0,0.189,3.814,49.208,1133.539,0.013,0.009,0.011,0.02,0.007,0.399,0.01,0.014,0.017
1960,107,13,2081,41620,86425.598,19070.085,0.357,0.159,0.064,0.026,0.678,0.027,0.848,378435.371,148351.262,-1898.019,49247.755,47574.035,0.44,0.56,NA,NA,NA,NA,0.176,0.788,0.211,0,0.188,3.541,42.079,10431.251,0.074,0.046,0.019,0.008,0.038,0.003,0.052,0.076,0.009
1960,108,13,1175,23500,69184.114,27540.3,0.178,0.074,0.021,0.008,0.564,0.404,0.754,141661.236,181206.11,-2814.648,29188.806,36664.27,0.484,0.516,NA,NA,NA,NA,0.101,0.55,0.45,0,0.22,3.899,50.182,3152.438,0.039,0.02,0.02,0.008,0.019,0.52,0.027,0.038,0.022
1960,109,13,1136,22720,58839.087,29796.357,0.119,0.026,0.017,0.014,0.504,0.772,0.701,96088.878,158553.212,-2984.406,29528.505,36080.927,0.537,0.463,NA,NA,NA,NA,0.091,0.731,0.269,0,0.18,3.804,48.632,2102.2,0.03,0.026,0.007,0.001,0.017,0.409,0.023,0.034,0.017
1960,110,13,1149,22980,83979.883,33230.592,0.145,0.047,0.023,0.016,0.53,0.59,0.721,140763.744,215125.315,-2871.379,29967.197,46611.312,0.541,0.459,NA,NA,NA,NA,0.093,0.762,0.238,0,0.171,3.822,48.023,6944.398,0.057,0.03,0.01,0.005,0.034,0.503,0.047,0.052,0.032
1960,113,13,1259,25180,75645.196,32798.131,0.16,0.052,0.014,0.006,0.525,0.588,0.716,129116.242,191208.147,-3049.824,33635.001,42460.707,0.571,0.429,NA,NA,NA,NA,0.102,0.77,0.23,0,0.182,3.797,47.624,4366.655,0.044,0.031,0.019,0.008,0.027,0.494,0.035,0.046,0.028
1960,114,13,1103,22060,78376.56,31870.358,0.152,0.057,0.016,0.007,0.527,0.407,0.723,141414.499,196746.234,-2918.138,31508.158,41715.402,0.527,0.473,NA,NA,NA,NA,0.11,0.738,0.262,0,0.182,3.741,48.769,2844.814,0.03,0.016,0.015,0.006,0.017,0.503,0.023,0.031,0.02
1960,115,13,1165,23300,73011.454,33739.109,0.121,0.035,0.016,0.012,0.508,0.764,0.692,113782.646,189337.194,-2505.425,30052.293,44535.279,0.566,0.434,NA,NA,NA,NA,0.106,0.647,0.353,0,0.205,3.768,47.981,4420.829,0.047,0.027,0.01,0.001,0.027,0.399,0.035,0.048,0.025
1960,116,13,857,17140,72428.309,29861.157,0.202,0.068,0.037,0.024,0.574,0.408,0.742,154375.974,170469.068,-2443.561,36036.035,42298.187,0.533,0.467,NA,NA,NA,NA,0.144,0.677,0.322,0.001,0.169,3.709,46.296,2952.033,0.028,0.028,0.004,0.014,0.016,0.496,0.023,0.034,0.027
